ISBN,Title,Author,Year,Publisher,Genre,Description,Language,Keywords,Image_URL
1575663937,More Cunning Than Man: A Social History of Rats and Man,Robert Hendrickson,1999,Kensington Publishing Corp.,History,"Bibliographic summary: “More Cunning Than Man: A Social History of Rats and Man” is classified as History and was written by Robert Hendrickson. It was published by Kensington Publishing Corp. in 1999. Search and recommendation terms derived from the available metadata include: more, cunning, than, man, social, history, rats, hendrickson.",English,"more, cunning, than, man, social, history, rats, hendrickson",http://images.amazon.com/images/P/1575663937.01.MZZZZZZZ.jpg
1881320189,Goodbye to the Buttermilk Sky,Julia Oliver,1994,River City Pub,General Fiction,"Bibliographic summary: “Goodbye to the Buttermilk Sky” is classified as General Fiction and was written by Julia Oliver. It was published by River City Pub in 1994. Search and recommendation terms derived from the available metadata include: goodbye, buttermilk, sky, oliver, general, fiction.",English,"goodbye, buttermilk, sky, oliver, general, fiction",http://images.amazon.com/images/P/1881320189.01.MZZZZZZZ.jpg
0440234743,The Testament,John Grisham,1999,Dell,Mystery & Thriller,"Bibliographic summary: “The Testament” is classified as Mystery & Thriller and was written by John Grisham. It was published by Dell in 1999. Search and recommendation terms derived from the available metadata include: testament, grisham, mystery, thriller.",English,"testament, grisham, mystery, thriller",http://images.amazon.com/images/P/0440234743.01.MZZZZZZZ.jpg
0452264464,Beloved (Plume Contemporary Fiction),Toni Morrison,1994,Plume,Romance,"Bibliographic summary: “Beloved (Plume Contemporary Fiction)” is classified as Romance and was written by Toni Morrison. It was published by Plume in 1994. Search and recommendation terms derived from the available metadata include: beloved, plume, contemporary, fiction, morrison, romance.",English,"beloved, plume, contemporary, fiction, morrison, romance",http://images.amazon.com/images/P/0452264464.01.MZZZZZZZ.jpg
0609804618,Our Dumb Century: The Onion Presents 100 Years of Headlines from America's Finest News Source,The Onion,1999,Three Rivers Press,History,"Bibliographic summary: “Our Dumb Century: The Onion Presents 100 Years of Headlines from America's Finest News Source” is classified as History and was written by The Onion. It was published by Three Rivers Press in 1999. Search and recommendation terms derived from the available metadata include: dumb, century, onion, presents, 100, years, headlines, america's, finest, news.",English,"dumb, century, onion, presents, 100, years, headlines, america's, finest, news",http://images.amazon.com/images/P/0609804618.01.MZZZZZZZ.jpg
1841721522,New Vegetarian: Bold and Beautiful Recipes for Every Occasion,Celia Brooks Brown,2001,Ryland Peters & Small Ltd,Cooking & Food,"Bibliographic summary: “New Vegetarian: Bold and Beautiful Recipes for Every Occasion” is classified as Cooking & Food and was written by Celia Brooks Brown. It was published by Ryland Peters & Small Ltd in 2001. Search and recommendation terms derived from the available metadata include: new, vegetarian, bold, beautiful, recipes, every, occasion, brown, cooking, food.",English,"new, vegetarian, bold, beautiful, recipes, every, occasion, brown, cooking, food",http://images.amazon.com/images/P/1841721522.01.MZZZZZZZ.jpg
1879384493,If I'd Known Then What I Know Now: Why Not Learn from the Mistakes of Others? : You Can't Afford to Make Them All Yourself,J. R. Parrish,2003,Cypress House,General Fiction,"Bibliographic summary: “If I'd Known Then What I Know Now: Why Not Learn from the Mistakes of Others? : You Can't Afford to Make Them All Yourself” is classified as General Fiction and was written by J. R. Parrish. It was published by Cypress House in 2003. Search and recommendation terms derived from the available metadata include: i'd, known, then, what, know, now, why, not, learn, mistakes.",English,"i'd, known, then, what, know, now, why, not, learn, mistakes",http://images.amazon.com/images/P/1879384493.01.MZZZZZZZ.jpg
0061076031,Mary-Kate & Ashley Switching Goals (Mary-Kate and Ashley Starring in),Mary-Kate & Ashley Olsen,2000,HarperEntertainment,Fantasy,"Bibliographic summary: “Mary-Kate & Ashley Switching Goals (Mary-Kate and Ashley Starring in)” is classified as Fantasy and was written by Mary-Kate & Ashley Olsen. It was published by HarperEntertainment in 2000. Search and recommendation terms derived from the available metadata include: mary, kate, ashley, switching, goals, starring, olsen, fantasy.",English,"mary, kate, ashley, switching, goals, starring, olsen, fantasy",http://images.amazon.com/images/P/0061076031.01.MZZZZZZZ.jpg
0439095026,Tell Me This Isn't Happening,Robynn Clairday,1999,Scholastic,General Fiction,"Bibliographic summary: “Tell Me This Isn't Happening” is classified as General Fiction and was written by Robynn Clairday. It was published by Scholastic in 1999. Search and recommendation terms derived from the available metadata include: tell, isn't, happening, clairday, general, fiction.",English,"tell, isn't, happening, clairday, general, fiction",http://images.amazon.com/images/P/0439095026.01.MZZZZZZZ.jpg
0689821166,Flood : Mississippi 1927,Kathleen Duey,1998,Aladdin,General Fiction,"Bibliographic summary: “Flood : Mississippi 1927” is classified as General Fiction and was written by Kathleen Duey. It was published by Aladdin in 1998. Search and recommendation terms derived from the available metadata include: flood, mississippi, 1927, duey, general, fiction.",English,"flood, mississippi, 1927, duey, general, fiction",http://images.amazon.com/images/P/0689821166.01.MZZZZZZZ.jpg
0971880107,Wild Animus,Rich Shapero,2004,Too Far,General Fiction,"Bibliographic summary: “Wild Animus” is classified as General Fiction and was written by Rich Shapero. It was published by Too Far in 2004. Search and recommendation terms derived from the available metadata include: wild, animus, shapero, general, fiction.",English,"wild, animus, shapero, general, fiction",http://images.amazon.com/images/P/0971880107.01.MZZZZZZZ.jpg
0345402871,Airframe,Michael Crichton,1997,Ballantine Books,Science Fiction,"Bibliographic summary: “Airframe” is classified as Science Fiction and was written by Michael Crichton. It was published by Ballantine Books in 1997. Search and recommendation terms derived from the available metadata include: airframe, crichton, science, fiction.",English,"airframe, crichton, science, fiction",http://images.amazon.com/images/P/0345402871.01.MZZZZZZZ.jpg
0345417623,Timeline,MICHAEL CRICHTON,2000,Ballantine Books,Science Fiction,"Bibliographic summary: “Timeline” is classified as Science Fiction and was written by MICHAEL CRICHTON. It was published by Ballantine Books in 2000. Search and recommendation terms derived from the available metadata include: timeline, crichton, science, fiction.",English,"timeline, crichton, science, fiction",http://images.amazon.com/images/P/0345417623.01.MZZZZZZZ.jpg
0684823802,OUT OF THE SILENT PLANET,C.S. Lewis,1996,Scribner,Science Fiction,"Bibliographic summary: “OUT OF THE SILENT PLANET” is classified as Science Fiction and was written by C.S. Lewis. It was published by Scribner in 1996. Search and recommendation terms derived from the available metadata include: out, silent, planet, lewis, science, fiction.",English,"out, silent, planet, lewis, science, fiction",http://images.amazon.com/images/P/0684823802.01.MZZZZZZZ.jpg
0375759778,Prague : A Novel,ARTHUR PHILLIPS,2003,Random House Trade Paperbacks,Art & Photography,"Bibliographic summary: “Prague : A Novel” is classified as Art & Photography and was written by ARTHUR PHILLIPS. It was published by Random House Trade Paperbacks in 2003. Search and recommendation terms derived from the available metadata include: prague, phillips, art, photography.",English,"prague, phillips, art, photography",http://images.amazon.com/images/P/0375759778.01.MZZZZZZZ.jpg
0425163091,Chocolate Jesus,Stephan Jaramillo,1998,Berkley Publishing Group,Religion & Spirituality,"Bibliographic summary: “Chocolate Jesus” is classified as Religion & Spirituality and was written by Stephan Jaramillo. It was published by Berkley Publishing Group in 1998. Search and recommendation terms derived from the available metadata include: chocolate, jesus, jaramillo, religion, spirituality.",English,"chocolate, jesus, jaramillo, religion, spirituality",http://images.amazon.com/images/P/0425163091.01.MZZZZZZZ.jpg
3404921038,Wie Barney es sieht.,Mordecai Richler,2002,LÃ?Â¼bbe,General Fiction,"Bibliographic summary: “Wie Barney es sieht.” is classified as General Fiction and was written by Mordecai Richler. It was published by LÃ?Â¼bbe in 2002. Search and recommendation terms derived from the available metadata include: wie, barney, sieht, richler, general, fiction.",English,"wie, barney, sieht, richler, general, fiction",http://images.amazon.com/images/P/3404921038.01.MZZZZZZZ.jpg
3442353866,Der Fluch der Kaiserin. Ein Richter- Di- Roman.,Eleanor Cooney,2001,Goldmann,General Fiction,"Bibliographic summary: “Der Fluch der Kaiserin. Ein Richter- Di- Roman.” is classified as General Fiction and was written by Eleanor Cooney. It was published by Goldmann in 2001. Search and recommendation terms derived from the available metadata include: der, fluch, kaiserin, ein, richter, roman, cooney, general, fiction.",German,"der, fluch, kaiserin, ein, richter, roman, cooney, general, fiction",http://images.amazon.com/images/P/3442353866.01.MZZZZZZZ.jpg
3442410665,Sturmzeit. Roman.,Charlotte Link,1991,Goldmann,General Fiction,"Bibliographic summary: “Sturmzeit. Roman.” is classified as General Fiction and was written by Charlotte Link. It was published by Goldmann in 1991. Search and recommendation terms derived from the available metadata include: sturmzeit, roman, link, general, fiction.",English,"sturmzeit, roman, link, general, fiction",http://images.amazon.com/images/P/3442410665.01.MZZZZZZZ.jpg
3442446937,Tage der Unschuld.,Richard North Patterson,2000,Goldmann,General Fiction,"Bibliographic summary: “Tage der Unschuld.” is classified as General Fiction and was written by Richard North Patterson. It was published by Goldmann in 2000. Search and recommendation terms derived from the available metadata include: tage, der, unschuld, patterson, general, fiction.",English,"tage, der, unschuld, patterson, general, fiction",http://images.amazon.com/images/P/3442446937.01.MZZZZZZZ.jpg
0375406328,Lying Awake,Mark Salzman,2000,Alfred A. Knopf,General Fiction,"Bibliographic summary: “Lying Awake” is classified as General Fiction and was written by Mark Salzman. It was published by Alfred A. Knopf in 2000. Search and recommendation terms derived from the available metadata include: lying, awake, salzman, general, fiction.",English,"lying, awake, salzman, general, fiction",http://images.amazon.com/images/P/0375406328.01.MZZZZZZZ.jpg
0446310786,To Kill a Mockingbird,Harper Lee,1988,Little Brown & Company,General Fiction,"Bibliographic summary: “To Kill a Mockingbird” is classified as General Fiction and was written by Harper Lee. It was published by Little Brown & Company in 1988. Search and recommendation terms derived from the available metadata include: kill, mockingbird, lee, general, fiction.",English,"kill, mockingbird, lee, general, fiction",http://images.amazon.com/images/P/0446310786.01.MZZZZZZZ.jpg
0449005615,Seabiscuit: An American Legend,LAURA HILLENBRAND,2002,Ballantine Books,Fantasy,"Bibliographic summary: “Seabiscuit: An American Legend” is classified as Fantasy and was written by LAURA HILLENBRAND. It was published by Ballantine Books in 2002. Search and recommendation terms derived from the available metadata include: seabiscuit, american, legend, hillenbrand, fantasy.",English,"seabiscuit, american, legend, hillenbrand, fantasy",http://images.amazon.com/images/P/0449005615.01.MZZZZZZZ.jpg
0060168013,Pigs in Heaven,Barbara Kingsolver,1993,Harpercollins,General Fiction,"Bibliographic summary: “Pigs in Heaven” is classified as General Fiction and was written by Barbara Kingsolver. It was published by Harpercollins in 1993. Search and recommendation terms derived from the available metadata include: pigs, heaven, kingsolver, general, fiction.",English,"pigs, heaven, kingsolver, general, fiction",http://images.amazon.com/images/P/0060168013.01.MZZZZZZZ.jpg
038078243X,Miss Zukas and the Raven's Dance,Jo Dereske,1996,Avon,General Fiction,"Bibliographic summary: “Miss Zukas and the Raven's Dance” is classified as General Fiction and was written by Jo Dereske. It was published by Avon in 1996. Search and recommendation terms derived from the available metadata include: miss, zukas, raven's, dance, dereske, general, fiction.",English,"miss, zukas, raven's, dance, dereske, general, fiction",http://images.amazon.com/images/P/038078243X.01.MZZZZZZZ.jpg
055321215X,Pride and Prejudice,Jane Austen,1983,Bantam,General Fiction,"Bibliographic summary: “Pride and Prejudice” is classified as General Fiction and was written by Jane Austen. It was published by Bantam in 1983. Search and recommendation terms derived from the available metadata include: pride, prejudice, austen, general, fiction.",English,"pride, prejudice, austen, general, fiction",http://images.amazon.com/images/P/055321215X.01.MZZZZZZZ.jpg
067176537X,The Therapeutic Touch: How to Use Your Hands to Help or to Heal,Dolores Krieger,1979,Fireside,General Fiction,"Bibliographic summary: “The Therapeutic Touch: How to Use Your Hands to Help or to Heal” is classified as General Fiction and was written by Dolores Krieger. It was published by Fireside in 1979. Search and recommendation terms derived from the available metadata include: therapeutic, touch, how, use, hands, help, heal, krieger, general, fiction.",English,"therapeutic, touch, how, use, hands, help, heal, krieger, general, fiction",http://images.amazon.com/images/P/067176537X.01.MZZZZZZZ.jpg
0061099686,Downtown,Anne Rivers Siddons,1995,HarperTorch,General Fiction,"Bibliographic summary: “Downtown” is classified as General Fiction and was written by Anne Rivers Siddons. It was published by HarperTorch in 1995. Search and recommendation terms derived from the available metadata include: downtown, siddons, general, fiction.",English,"downtown, siddons, general, fiction",http://images.amazon.com/images/P/0061099686.01.MZZZZZZZ.jpg
0553582909,Icebound,Dean R. Koontz,2000,Bantam Books,General Fiction,"Bibliographic summary: “Icebound” is classified as General Fiction and was written by Dean R. Koontz. It was published by Bantam Books in 2000. Search and recommendation terms derived from the available metadata include: icebound, koontz, general, fiction.",English,"icebound, koontz, general, fiction",http://images.amazon.com/images/P/0553582909.01.MZZZZZZZ.jpg
0671888587,I'll Be Seeing You,Mary Higgins Clark,1994,Pocket,Mystery & Thriller,"Bibliographic summary: “I'll Be Seeing You” is classified as Mystery & Thriller and was written by Mary Higgins Clark. It was published by Pocket in 1994. Search and recommendation terms derived from the available metadata include: i'll, seeing, you, clark, mystery, thriller.",English,"i'll, seeing, you, clark, mystery, thriller",http://images.amazon.com/images/P/0671888587.01.MZZZZZZZ.jpg
0553582747,From the Corner of His Eye,Dean Koontz,2001,Bantam Books,Horror,"Bibliographic summary: “From the Corner of His Eye” is classified as Horror and was written by Dean Koontz. It was published by Bantam Books in 2001. Search and recommendation terms derived from the available metadata include: corner, eye, koontz, horror.",English,"corner, eye, koontz, horror",http://images.amazon.com/images/P/0553582747.01.MZZZZZZZ.jpg
0425182908,Isle of Dogs,Patricia Cornwell,2002,Berkley Publishing Group,General Fiction,"Bibliographic summary: “Isle of Dogs” is classified as General Fiction and was written by Patricia Cornwell. It was published by Berkley Publishing Group in 2002. Search and recommendation terms derived from the available metadata include: isle, dogs, cornwell, general, fiction.",English,"isle, dogs, cornwell, general, fiction",http://images.amazon.com/images/P/0425182908.01.MZZZZZZZ.jpg
042518630X,Purity in Death,J.D. Robb,2002,Berkley Publishing Group,General Fiction,"Bibliographic summary: “Purity in Death” is classified as General Fiction and was written by J.D. Robb. It was published by Berkley Publishing Group in 2002. Search and recommendation terms derived from the available metadata include: purity, death, robb, general, fiction.",English,"purity, death, robb, general, fiction",http://images.amazon.com/images/P/042518630X.01.MZZZZZZZ.jpg
0440223571,This Year It Will Be Different: And Other Stories,Maeve Binchy,1997,Dell,General Fiction,"Bibliographic summary: “This Year It Will Be Different: And Other Stories” is classified as General Fiction and was written by Maeve Binchy. It was published by Dell in 1997. Search and recommendation terms derived from the available metadata include: year, will, different, other, stories, binchy, general, fiction.",English,"year, will, different, other, stories, binchy, general, fiction",http://images.amazon.com/images/P/0440223571.01.MZZZZZZZ.jpg
0812523873,Proxies,Laura J. Mixon,1999,Tor Books,General Fiction,"Bibliographic summary: “Proxies” is classified as General Fiction and was written by Laura J. Mixon. It was published by Tor Books in 1999. Search and recommendation terms derived from the available metadata include: proxies, mixon, general, fiction.",English,"proxies, mixon, general, fiction",http://images.amazon.com/images/P/0812523873.01.MZZZZZZZ.jpg
0842342702,Left Behind: A Novel of the Earth's Last Days (Left Behind #1),Tim Lahaye,2000,Tyndale House Publishers,Art & Photography,"Bibliographic summary: “Left Behind: A Novel of the Earth's Last Days (Left Behind #1)” is classified as Art & Photography and was written by Tim Lahaye. It was published by Tyndale House Publishers in 2000. Search and recommendation terms derived from the available metadata include: left, behind, earth's, last, days, lahaye, art, photography.",English,"left, behind, earth's, last, days, lahaye, art, photography",http://images.amazon.com/images/P/0842342702.01.MZZZZZZZ.jpg
0440225701,The Street Lawyer,JOHN GRISHAM,1999,Dell,Mystery & Thriller,"Bibliographic summary: “The Street Lawyer” is classified as Mystery & Thriller and was written by JOHN GRISHAM. It was published by Dell in 1999. Search and recommendation terms derived from the available metadata include: street, lawyer, grisham, mystery, thriller.",English,"street, lawyer, grisham, mystery, thriller",http://images.amazon.com/images/P/0440225701.01.MZZZZZZZ.jpg
0060914068,"Love, Medicine and Miracles",M.D. Bernie S. Siegel,1988,HarperCollins Publishers,Romance,"Bibliographic summary: “Love, Medicine and Miracles” is classified as Romance and was written by M.D. Bernie S. Siegel. It was published by HarperCollins Publishers in 1988. Search and recommendation terms derived from the available metadata include: love, medicine, miracles, siegel, romance.",English,"love, medicine, miracles, siegel, romance",http://images.amazon.com/images/P/0060914068.01.MZZZZZZZ.jpg
0156047624,All the King's Men,Robert Penn Warren,1982,Harvest Books,History,"Bibliographic summary: “All the King's Men” is classified as History and was written by Robert Penn Warren. It was published by Harvest Books in 1982. Search and recommendation terms derived from the available metadata include: all, king's, men, warren, history.",English,"all, king's, men, warren, history",http://images.amazon.com/images/P/0156047624.01.MZZZZZZZ.jpg
0245542957,Pacific Northwest,Hans Johannes Hoefer,1985,Chambers Harrap Publishers Ltd,General Fiction,"Bibliographic summary: “Pacific Northwest” is classified as General Fiction and was written by Hans Johannes Hoefer. It was published by Chambers Harrap Publishers Ltd in 1985. Search and recommendation terms derived from the available metadata include: pacific, northwest, hoefer, general, fiction.",English,"pacific, northwest, hoefer, general, fiction",http://images.amazon.com/images/P/0245542957.01.MZZZZZZZ.jpg
0380715899,A Soldier of the Great War,Mark Helprin,1992,Avon Books,History,"Bibliographic summary: “A Soldier of the Great War” is classified as History and was written by Mark Helprin. It was published by Avon Books in 1992. Search and recommendation terms derived from the available metadata include: soldier, great, war, helprin, history.",English,"soldier, great, war, helprin, history",http://images.amazon.com/images/P/0380715899.01.MZZZZZZZ.jpg
0553280333,Getting Well Again,O. Carol Simonton Md,1992,Bantam,General Fiction,"Bibliographic summary: “Getting Well Again” is classified as General Fiction and was written by O. Carol Simonton Md. It was published by Bantam in 1992. Search and recommendation terms derived from the available metadata include: getting, well, again, general, fiction.",English,"getting, well, again, general, fiction",http://images.amazon.com/images/P/0553280333.01.MZZZZZZZ.jpg
0961769947,Northwest Wines and Wineries,Chuck Hill,1993,Speed Graphics,Cooking & Food,"Bibliographic summary: “Northwest Wines and Wineries” is classified as Cooking & Food and was written by Chuck Hill. It was published by Speed Graphics in 1993. Search and recommendation terms derived from the available metadata include: northwest, wines, wineries, hill, cooking, food.",English,"northwest, wines, wineries, hill, cooking, food",http://images.amazon.com/images/P/0961769947.01.MZZZZZZZ.jpg
0964778319,An Atmosphere of Eternity: Stories of India,David Iglehart,2002,Sunflower Press,Art & Photography,"Bibliographic summary: “An Atmosphere of Eternity: Stories of India” is classified as Art & Photography and was written by David Iglehart. It was published by Sunflower Press in 2002. Search and recommendation terms derived from the available metadata include: atmosphere, eternity, stories, india, iglehart, art, photography.",English,"atmosphere, eternity, stories, india, iglehart, art, photography",http://images.amazon.com/images/P/0964778319.01.MZZZZZZZ.jpg
0671623249,LONESOME DOVE,Larry McMurtry,1986,Pocket,General Fiction,"Bibliographic summary: “LONESOME DOVE” is classified as General Fiction and was written by Larry McMurtry. It was published by Pocket in 1986. Search and recommendation terms derived from the available metadata include: lonesome, dove, mcmurtry, general, fiction.",English,"lonesome, dove, mcmurtry, general, fiction",http://images.amazon.com/images/P/0671623249.01.MZZZZZZZ.jpg
0679810307,Shabanu: Daughter of the Wind (Border Trilogy),SUZANNE FISHER STAPLES,1991,Laurel Leaf,General Fiction,"Bibliographic summary: “Shabanu: Daughter of the Wind (Border Trilogy)” is classified as General Fiction and was written by SUZANNE FISHER STAPLES. It was published by Laurel Leaf in 1991. Search and recommendation terms derived from the available metadata include: shabanu, daughter, wind, border, trilogy, staples, general, fiction.",English,"shabanu, daughter, wind, border, trilogy, staples, general, fiction",http://images.amazon.com/images/P/0679810307.01.MZZZZZZZ.jpg
0679865691,Haveli (Laurel Leaf Books),SUZANNE FISHER STAPLES,1995,Laurel Leaf,General Fiction,"Bibliographic summary: “Haveli (Laurel Leaf Books)” is classified as General Fiction and was written by SUZANNE FISHER STAPLES. It was published by Laurel Leaf in 1995. Search and recommendation terms derived from the available metadata include: haveli, laurel, leaf, staples, general, fiction.",English,"haveli, laurel, leaf, staples, general, fiction",http://images.amazon.com/images/P/0679865691.01.MZZZZZZZ.jpg
2070423204,Lieux dits,Michel Tournier,2002,Gallimard,General Fiction,"Bibliographic summary: “Lieux dits” is classified as General Fiction and was written by Michel Tournier. It was published by Gallimard in 2002. Search and recommendation terms derived from the available metadata include: lieux, dits, tournier, general, fiction.",English,"lieux, dits, tournier, general, fiction",http://images.amazon.com/images/P/2070423204.01.MZZZZZZZ.jpg
0345260317,The Dragons of Eden: Speculations on the Evolution of Human Intelligence,Carl Sagan,1978,Ballantine Books,Fantasy,"Bibliographic summary: “The Dragons of Eden: Speculations on the Evolution of Human Intelligence” is classified as Fantasy and was written by Carl Sagan. It was published by Ballantine Books in 1978. Search and recommendation terms derived from the available metadata include: dragons, eden, speculations, evolution, human, intelligence, sagan, fantasy.",English,"dragons, eden, speculations, evolution, human, intelligence, sagan, fantasy",http://images.amazon.com/images/P/0345260317.01.MZZZZZZZ.jpg
