"User_ID","Age","Location"
"U0154","53","Perak, Malaysia"
"U0155","64","Sabah, Malaysia"
"U0156","54","Penang, Malaysia"
"U0157","53","Sarawak, Malaysia"
"U0158","21","Perak, Malaysia"
"U0159","26","Melaka, Malaysia"
"U0160","32","Negeri Sembilan, Malaysia"
"U0161","22","Perak, Malaysia"
"U0162","59","Kuala Lumpur, Malaysia"
"U0163","61","Negeri Sembilan, Malaysia"
"U0164","35","Kuala Lumpur, Malaysia"
"U0165","53","Selangor, Malaysia"
"U0166","61","Perak, Malaysia"
"U0167","46","Selangor, Malaysia"
"U0168","23","Melaka, Malaysia"
"U0169","55","Penang, Malaysia"
"U0170","42","Selangor, Malaysia"
"U0171","34","Sarawak, Malaysia"
"U0172","18","Sarawak, Malaysia"
"U0173","56","Selangor, Malaysia"
"U0174","19","Pahang, Malaysia"
"U0175","40","Johor, Malaysia"
"U0176","34","Johor, Malaysia"
"U0177","27","Penang, Malaysia"
"U0178","24","Melaka, Malaysia"
"U0179","59","Negeri Sembilan, Malaysia"
"U0180","35","Kuala Lumpur, Malaysia"
"U0181","46","Perak, Malaysia"
"U0182","41","Kuala Lumpur, Malaysia"
"U0183","22","Melaka, Malaysia"
"U0184","19","Kuala Lumpur, Malaysia"
"U0185","25","Sabah, Malaysia"
"U0186","38","Sarawak, Malaysia"
"U0187","60","Perak, Malaysia"
"U0188","58","Johor, Malaysia"
"U0189","41","Penang, Malaysia"
"U0190","32","Selangor, Malaysia"
"U0191","35","Perak, Malaysia"
"U0192","47","Perak, Malaysia"
"U0193","38","Negeri Sembilan, Malaysia"
"U0194","28","Penang, Malaysia"
"U0195","55","Selangor, Malaysia"
"U0196","62","Negeri Sembilan, Malaysia"
"U0197","37","Perak, Malaysia"
"U0198","34","Perak, Malaysia"
"U0199","64","Melaka, Malaysia"
"U0200","61","Negeri Sembilan, Malaysia"
"U0201","41","Melaka, Malaysia"
"U0202","58","Sarawak, Malaysia"
"U0203","33","Sabah, Malaysia"
"U0204","61","Kuala Lumpur, Malaysia"
"U0205","18","Sarawak, Malaysia"
"U0206","30","Kuala Lumpur, Malaysia"
"U0207","52","Sabah, Malaysia"
"U0208","54","Pahang, Malaysia"
"U0209","33","Kuala Lumpur, Malaysia"
"U0210","36","Sarawak, Malaysia"
"U0211","34","Sabah, Malaysia"
"U0212","43","Melaka, Malaysia"
"U0213","19","Negeri Sembilan, Malaysia"
"U0214","43","Sarawak, Malaysia"
"U0215","19","Sabah, Malaysia"
"U0216","50","Johor, Malaysia"
"U0217","39","Melaka, Malaysia"
"U0218","61","Selangor, Malaysia"
"U0219","46","Melaka, Malaysia"
"U0220","59","Sabah, Malaysia"
"U0221","50","Negeri Sembilan, Malaysia"
"U0222","38","Sabah, Malaysia"
"U0223","50","Perak, Malaysia"
"U0224","53","Penang, Malaysia"
"U0225","51","Selangor, Malaysia"
"U0226","55","Melaka, Malaysia"
"U0227","31","Sarawak, Malaysia"
"U0228","26","Negeri Sembilan, Malaysia"
"U0229","18","Perak, Malaysia"
"U0230","44","Negeri Sembilan, Malaysia"
"U0231","43","Selangor, Malaysia"
"U0232","57","Pahang, Malaysia"
"U0233","44","Sarawak, Malaysia"
"U0234","63","Negeri Sembilan, Malaysia"
"U0235","60","Melaka, Malaysia"
"U0236","45","Penang, Malaysia"
"U0237","41","Pahang, Malaysia"
"U0238","44","Sabah, Malaysia"
"U0239","63","Perak, Malaysia"
"U0240","64","Perak, Malaysia"
"U0241","23","Selangor, Malaysia"
"U0242","62","Selangor, Malaysia"
"U0243","51","Pahang, Malaysia"
"U0244","32","Penang, Malaysia"
"U0245","38","Johor, Malaysia"
"U0246","58","Penang, Malaysia"
"U0247","38","Perak, Malaysia"
"U0248","35","Kuala Lumpur, Malaysia"
"U0249","18","Negeri Sembilan, Malaysia"
"U0250","44","Pahang, Malaysia"
"U0251","48","Sabah, Malaysia"
"U0252","58","Pahang, Malaysia"
"U0253","34","Negeri Sembilan, Malaysia"
"U0254","38","Pahang, Malaysia"
"U0255","48","Selangor, Malaysia"
"U0256","60","Selangor, Malaysia"
"U0257","27","Selangor, Malaysia"
"U0258","57","Sabah, Malaysia"
"U0259","60","Melaka, Malaysia"
"U0260","37","Negeri Sembilan, Malaysia"
"U0261","41","Selangor, Malaysia"
"U0262","65","Sarawak, Malaysia"
"U0263","61","Sabah, Malaysia"
"U0264","55","Perak, Malaysia"
"U0265","50","Kuala Lumpur, Malaysia"
"U0266","60","Melaka, Malaysia"
"U0267","44","Selangor, Malaysia"
"U0268","34","Johor, Malaysia"
"U0269","25","Pahang, Malaysia"
"U0270","29","Negeri Sembilan, Malaysia"
"U0271","56","Negeri Sembilan, Malaysia"
"U0272","33","Negeri Sembilan, Malaysia"
"U0273","34","Sarawak, Malaysia"
"U0274","61","Negeri Sembilan, Malaysia"
"U0275","54","Perak, Malaysia"
"U0276","59","Selangor, Malaysia"
"U0277","35","Kuala Lumpur, Malaysia"
"U0278","27","Pahang, Malaysia"
"U0279","33","Selangor, Malaysia"
"U0280","28","Pahang, Malaysia"
"U0281","48","Sarawak, Malaysia"
"U0282","37","Negeri Sembilan, Malaysia"
"U0283","31","Johor, Malaysia"
"U0284","60","Sabah, Malaysia"
"U0285","34","Sarawak, Malaysia"
"U0286","33","Sabah, Malaysia"
"U0287","25","Penang, Malaysia"
"U0288","41","Pahang, Malaysia"
"U0289","22","Sarawak, Malaysia"
"U0290","30","Negeri Sembilan, Malaysia"
"U0291","61","Selangor, Malaysia"
"U0292","50","Penang, Malaysia"
"U0293","62","Johor, Malaysia"
"U0294","20","Sabah, Malaysia"
"U0295","39","Perak, Malaysia"
"U0296","61","Pahang, Malaysia"
"U0297","48","Kuala Lumpur, Malaysia"
"U0298","58","Kuala Lumpur, Malaysia"
"U0299","26","Selangor, Malaysia"
"U0300","51","Johor, Malaysia"
